Person Name,Description,Wikipedia Link,Instagram,Twitter,Youtube,Homepage
Dan Barreiro,Dan Barreiro is a sports radio talk-show host.,https://en.wikipedia.org/wiki/Dan_Barreiro,//www.instagram.com/dbarreiro5,//www.twitter.com/DanBarreiroKFAN,,
Carl Icahn,Carl Icahn is an American businessman.,https://en.wikipedia.org/wiki/Carl_Icahn,,//www.twitter.com/Carl_C_Icahn,,
Jon Call,"As an Amazon Associate, we earn money from purchases made through links in this page.",,//www.instagram.com/jujimufu,,,
Rollo Tomassi,"As an Amazon Associate, we earn money from purchases made through links in this page.",,//www.instagram.com/rational_male,//www.twitter.com/RationalMale,,
Roman Mars,Roman Mars is an American radio producer.,https://en.wikipedia.org/wiki/Roman_Mars,//www.instagram.com/theromanmars,//www.twitter.com/romanmars,,
John Crowley,John Crowley is an American biotechnology executive and entrepreneur and the chairman and CEO of Amicus Therapeutics.,https://en.wikipedia.org/wiki/John_Crowley_(biotech_executive),,,,
Rory Sutherland,Rory Sutherland is a British advertising executive.,https://en.wikipedia.org/wiki/Rory_Sutherland_(advertising_executive),,//www.twitter.com/rorysutherland,,
Blake Scholl,"As an Amazon Associate, we earn money from purchases made through links in this page.",,,//www.twitter.com/bscholl,,
Ross Kaminsky,"As an Amazon Associate, we earn money from purchases made through links in this page.",,,//www.twitter.com/Rossputin,,
John Arnold,"John Arnold is an American billionaire, former hedge fund manager, and former natural gas trader.",https://en.wikipedia.org/wiki/John_D._Arnold,,//www.twitter.com/JohnArnoldFndtn,,
Roxane Gay,"Roxane Gay is an American writer, professor, editor, and social commentator.",https://en.wikipedia.org/wiki/Roxane_Gay,//www.instagram.com/roxanegay74,//www.twitter.com/rgay,,
Joel Stein,Joel Stein is an American journalist who wrote for the Los Angeles Times.,https://en.wikipedia.org/wiki/Joel_Stein,//www.instagram.com/thejoelstein,//www.twitter.com/thejoelstein,,
Russell Brunson,"As an Amazon Associate, we earn money from purchases made through links in this page.",,//www.instagram.com/russellbrunson,//www.twitter.com/russellbrunson,,
Rutger Bregman,Rutger Bregman is a Dutch popular historian and author.,https://en.wikipedia.org/wiki/Rutger_Bregman,,//www.twitter.com/rcbregman,,
Scott Galloway,"Scott Galloway is a professor of marketing, public speaker, author, podcast host, and entrepreneur.",https://en.wikipedia.org/wiki/Scott_Galloway_(professor),//www.instagram.com/profgalloway,//www.twitter.com/profgalloway,,
Sean Carroll,Sean Carroll is an American theoretical physicist and philosopher.,https://en.wikipedia.org/wiki/Sean_M._Carroll,//www.instagram.com/seanmcarroll,//www.twitter.com/seanmcarroll,,
Shashi Tharoor,"Shashi Tharoor is an Indian former international civil servant, diplomat, bureaucrat and politician, writer and public intellectual.",https://en.wikipedia.org/wiki/Shashi_Tharoor,//www.instagram.com/shashitharoor,//www.twitter.com/ShashiTharoor,,
Steve Blank,"Steve Blank is an American entrepreneur, educator, author and speaker.",https://en.wikipedia.org/wiki/Steve_Blank,,//www.twitter.com/sgblank,,
Jimmy Fallon,"Jimmy Fallon is an American comedian, actor, television host, singer, writer, and producer.",https://en.wikipedia.org/wiki/Jimmy_Fallon,//www.instagram.com/jimmyfallon,//www.twitter.com/jimmyfallon,,
Steve Kerr,Steve Kerr is an American professional basketball coach and former player.,https://en.wikipedia.org/wiki/Steve_Kerr,,//www.twitter.com/stevekerr,,
